latitude_airbase,longitude_airbase,latitude_pizzeria,longitude_pizzeria,distance
52.02095,4.3933,52.01289,4.37329,1640.60007
52.02095,4.3933,52.01343,4.36352,2208.9414
52.02095,4.3933,52.01409,4.35905,2472.48266
52.02095,4.3933,52.01164,4.35815,2626.58225
52.02095,4.3933,52.00102,4.35452,3465.1961
52.02095,4.3933,51.99918,4.35526,3562.40652
52.02095,4.3933,52.00412,4.35135,3435.52888
52.02095,4.3933,51.99605,4.37559,3025.80963
52.02095,4.3933,52.00577,4.37841,1974.23609
52.02095,4.3933,52.00083,4.37657,2516.00735
