latitude_client_1,longitude_client_1,latitude_client_2,longitude_client_2,distance
51.98723,4.3492,51.99165,4.34836,495.3635
51.98723,4.3492,51.99031,4.35893,751.2611
51.98723,4.3492,51.98998,4.37647,1898.3794
51.98723,4.3492,52.0103,4.34802,2568.7508
51.98723,4.3492,51.99911,4.37031,1962.9358
51.98723,4.3492,52.00114,4.35674,1632.8215
51.98723,4.3492,52.02149,4.34939,3812.6151
51.98723,4.3492,52.02093,4.3639,3883.5298
51.98723,4.3492,52.01948,4.37842,4111.712
51.98723,4.3492,52.01605,4.35325,3219.5285
51.98723,4.3492,52.00821,4.35985,2446.9092
51.98723,4.3492,52.01007,4.37155,2969.0076
51.98723,4.3492,52.01079,4.38914,3794.6118
51.98723,4.3492,52.00507,4.35946,2106.9928
51.99165,4.34836,51.98723,4.3492,495.3635
51.99165,4.34836,51.99031,4.35893,741.1333
51.99165,4.34836,51.98998,4.37647,1939.5745
51.99165,4.34836,52.0103,4.34802,2075.597
51.99165,4.34836,51.99911,4.37031,1721.3884
51.99165,4.34836,52.00114,4.35674,1202.9919
51.99165,4.34836,52.02149,4.34939,3321.3178
51.99165,4.34836,52.02093,4.3639,3428.2564
51.99165,4.34836,52.01948,4.37842,3721.5686
51.99165,4.34836,52.01605,4.35325,2736.1205
51.99165,4.34836,52.00821,4.35985,2004.7415
51.99165,4.34836,52.01007,4.37155,2595.3167
51.99165,4.34836,52.01079,4.38914,3518.377
51.99165,4.34836,52.00507,4.35946,1676.8143
51.99031,4.35893,51.98723,4.3492,751.2611
51.99031,4.35893,51.99165,4.34836,741.1333
51.99031,4.35893,51.98998,4.37647,1205.3375
51.99031,4.35893,52.0103,4.34802,2347.3985
51.99031,4.35893,51.99911,4.37031,1253.6948
51.99031,4.35893,52.00114,4.35674,1215.1085
51.99031,4.35893,52.02149,4.34939,3531.2029
51.99031,4.35893,52.02093,4.3639,3424.2926
51.99031,4.35893,52.01948,4.37842,3511.1343
51.99031,4.35893,52.01605,4.35325,2891.2361
51.99031,4.35893,52.00821,4.35985,1993.2672
51.99031,4.35893,52.01007,4.37155,2363.2844
51.99031,4.35893,52.01079,4.38914,3082.0069
51.99031,4.35893,52.00507,4.35946,1643.3443
51.98998,4.37647,51.98723,4.3492,1898.3794
51.98998,4.37647,51.99165,4.34836,1939.5745
51.98998,4.37647,51.99031,4.35893,1205.3375
51.98998,4.37647,52.0103,4.34802,2987.4972
51.98998,4.37647,51.99911,4.37031,1100.2885
51.98998,4.37647,52.00114,4.35674,1837.8027
51.98998,4.37647,52.02149,4.34939,3968.2844
51.98998,4.37647,52.02093,4.3639,3549.3906
51.98998,4.37647,52.01948,4.37842,3284.486
51.98998,4.37647,52.01605,4.35325,3309.9565
51.98998,4.37647,52.00821,4.35985,2327.0936
51.98998,4.37647,52.01007,4.37155,2259.7059
51.98998,4.37647,52.01079,4.38914,2472.8499
51.98998,4.37647,52.00507,4.35946,2045.2102
52.0103,4.34802,51.98723,4.3492,2568.7508
52.0103,4.34802,51.99165,4.34836,2075.597
52.0103,4.34802,51.99031,4.35893,2347.3985
52.0103,4.34802,51.98998,4.37647,2987.4972
52.0103,4.34802,51.99911,4.37031,1972.5915
52.0103,4.34802,52.00114,4.35674,1181.6591
52.0103,4.34802,52.02149,4.34939,1248.5994
