latitude_pizzeria,longitude_pizzeria,latitude_client,longitude_client,distance
52.01289,4.37329,51.98723,4.3492,3300.58625
52.01289,4.37329,51.99165,4.34836,2918.69059
52.01289,4.37329,51.99031,4.35893,2699.73267
52.01289,4.37329,51.98998,4.37647,2558.11746
52.01289,4.37329,52.0103,4.34802,1758.49467
52.01443,4.36352,51.98723,4.3492,3182.88497
52.01443,4.36352,51.99165,4.34836,2740.51293
52.01443,4.36352,51.99031,4.35893,2702.72383
52.01443,4.36352,51.98998,4.37647,2861.44155
52.01443,4.36352,52.0103,4.34802,1159.14874
51.99605,4.37559,51.98723,4.3492,2061.6225
51.99605,4.37559,51.99165,4.34836,1933.2287
51.99605,4.37559,51.99031,4.35893,1310.66851
51.99605,4.37559,51.98998,4.37647,677.53741
51.99605,4.37559,52.0103,4.34802,2469.14395
